"","Sample_04","Sample_03","Sample_02","Sample_01"
"182",3766.48762425294,20822.9841138247,2646.35605569318,2096.83556563823
"183",2646.61454064336,16186.6915551693,1568.93655844008,1915.64293806699
"184",3141.04201010772,10086.3551730891,1864.46396054436,2193.99428182853
"185",664.212950859663,3396.19703155198,503.06776089667,137.380898513491
"186",2299.79740012221,7472.85372733822,1107.07146495792,1509.53244674646
"187",2525.24167096395,13028.3169798921,2140.47299433408,1677.35979167193
"188",2473.79075926142,8842.51395100614,1253.25884460949,1378.03031769618
"189",2737.44900199634,15315.9136027406,1800.06119211509,1556.34258279998
"190",3239.31029941376,11806.4817089582,2083.43393804604,2496.10708564528
"191",3336.61063237779,16767.1595016325,2344.94357275564,2208.5976247332
"192",3627.06125409028,13015.7474657273,2261.68260609331,1995.92362572758
"193",0,11.6008065403996,0,0
"194",12.7780440415134,101.815992366469,251.031390218687,47.1206503386529
"195",345.914861610467,1543.71116318448,246.915362683701,2707.39269205107
"196",8.72204783701228,0,0,12.8155171479499
"197",32883.3483412914,35894.1659181637,58334.658616249,48003.4503760289
"198",304.163471856947,239.109204797851,553.52417444115,6883.73453691372
"199",0,24.4537388515289,23.0957803557031,30.6546973571833
"200",0,0,0,0
"201",0,0,0,0
"202",41064.1270411359,41167.7087212941,51461.5118514611,54404.6255247736
"203",32616.7466325066,36991.0921949848,55515.9678649944,47209.981977541
"204",32565.83551132,44538.0503704407,57485.7992176136,50794.3391151759
"205",32340.712155907,45584.6028529967,42755.2522561395,57403.9192780562
"206",9127.91760510386,17743.6514919913,11431.0751837184,7342.74032880186
"207",9813.96043070203,21926.5972250253,8938.43938621209,10103.826622827
"208",0,0,0,0
"209",0,0,0,0
"210",27619.5505313534,34487.5149986624,29102.8857657844,43910.8298352781
"211",34076.4892603292,30592.1250991095,43081.3777923031,44114.2239610517
"212",47409.7909392277,52305.6615407351,61793.4746328454,76817.8456175624
"213",15953.3598447655,26567.3800724797,17914.9779219098,13048.769335068
"214",0,0,0,0
"215",0,0,0,0
"216",39867.4850610379,33399.7337197781,52887.7267946818,85002.8074755788
"217",150.599983789899,186.425602736392,60.7107596036909,5.84713792354733
"218",26498.0764380699,22725.7786621914,37187.7275247214,33123.937740894
"219",7513.42699462449,216.789678017718,9270.16649893779,2025.35279540068
"220",37893.235341019,42928.4633437868,45549.7923883314,70403.3181279114
"221",10223.0678725365,655.989708461363,10357.4785314018,7107.76027385127
"222",883.649751228886,664.118045155344,403.026484773376,3367.80813950702
"223",2217.14635617203,7239.1288976457,1157.2113029649,3648.38640734797
"224",1603.73269639756,240.98166842635,2051.89586267204,1079.94226488724
"225",2896.96228950982,455.528901531041,2511.74409599494,2069.35401482438
"226",43116.1716269151,38862.3285030536,46627.7527004357,73827.3772402292
"227",116.812108866952,573.449485767001,178.582773152907,778.366817609726
"228",13660.6363385507,12190.0323094888,14733.0010750887,20823.2587544837
"229",311.376465933203,344.57102150025,724.572056871963,1509.7604173526
"230",48743.2409537426,42790.0727205214,51351.2691295815,47385.9914272124
"231",33980.841813886,29435.1652301116,51759.5429616252,62063.5838358864
"232",41199.4906474532,37599.2664661974,49313.5876029298,66877.6737177825
"233",8.82853068945099,95.8987889438886,29.0250413652521,8.49904440033337
"234",1.07215018914986,10.5153620382678,0,3.62042261615
"235",5.09141381584557,37.8066561134519,0,12.5234548374976
"236",137.29665608053,247.062786309156,62.3447420995587,829.574128560874
"237",3.92404788890553,12.9327453600614,0,6.00428711375926
"238",3369.93580601965,22458.9733934472,2475.53674875223,2131.60433453819
"239",16171.2660661699,21337.1976953275,25957.0116014458,29976.0107032516
"240",1174.53786944316,1089.41838407219,1708.22603373525,533.344838061416
"241",6268.75241193548,5612.95128011931,7564.03031060202,3572.25173346993
"242",38760.2242610475,36777.839660596,41187.5206697722,61169.1620532991
"243",1583.90959513682,4627.16632125318,456.657218040904,787.509815924058
"244",0,0,0,38.6410806593363
"245",0,0,0,0
"246",2356.51475819579,10.2562719909878,2250.48768830375,386.617341540504
"247",6654.79629523359,15652.1618057518,4358.36727519925,21385.2046165811
"248",10308.7458084664,23956.3209124893,10302.148524197,32993.3700105208
"249",6545.13172219419,14068.1195892792,6313.72880975777,26533.8215959152
"250",9469.1810467687,16806.2611550246,9480.78050439282,25371.2212582004
"251",33329.0971189502,40244.5004710294,33609.0279598424,61143.0886819982
"252",19802.2571926657,31312.5247493505,28929.3100033419,22241.6212122843
"253",27426.3869467965,45187.2026747737,59932.0723882925,69323.5556550875
"254",42984.0042293475,45078.1760383057,69729.8992988942,85394.5084426875
"255",0,0,0,0
"256",0,0,0,0
"257",0,0,0,0
"258",50104.2025477768,37965.7303507167,47545.07720891,59971.1436747181
"259",16043.3393395198,25516.8313284911,25727.2868789428,15871.1020500399
"260",54229.2332052615,27251.6527782175,54015.4463194328,79733.7515165966
"261",0,0,0,0
"262",14257.6357907162,7572.95657252064,11024.4948316234,8105.85849101982
"263",3000.30655654742,10113.0316768165,4198.57400357205,3475.13848867989
"264",3829.68954544269,12052.04184388,7527.58923583093,14007.8993409229
"265",0,0,0,0
"266",2757.51837984799,55.5123909305292,2420.13265850186,539.261710243407
"267",0,0,0,0
"268",10254.2175935805,17806.0989441016,7006.41083220453,6423.80638288114
"269",17217.580976979,27605.497220857,26276.2240747648,32038.0238508497
"270",5650.03362193772,20223.9915846018,5745.7477924783,7569.71562802903
"271",3710.4589237065,4227.21327455322,2850.14169010568,6681.56231526243
"272",0,541.904567412249,0,65.7606904357808
"273",959.976079411413,3940.6579247318,616.148715159937,314.75537518056
"274",16473.4804750821,3392.19534377053,23712.0824706754,16265.7215624335
"275",4.66982850612653,0,0,0
"276",158.060955154771,220.561040038679,44.0902009303287,839.625107668627
"277",0,0,0,29.983819826243
"278",8541.76689392516,19188.0180960624,5953.84950948664,7042.11210625509
"279",0,0,0,0
"280",688.160437436516,2094.9422367855,922.43956101608,1550.45175424689
"281",19891.5338018967,3736.18561664461,28734.106436643,17147.9785022629
"282",35.2159869795116,26.5933613963917,157.335182719097,50.5734830173333
"283",3.59510616468061,5.0754273247402,0,5.24121599590565
"284",168.46734358026,460.252650032598,113.775802944497,949.077645503424
"285",6.34519311505314,16.1040567056477,0,7.86720481785341
"286",24573.6734737141,40060.6530450483,36526.1222848273,40004.2577068614
"287",8351.79102878812,20442.6741124115,8306.84898528052,10544.8622719185
"288",15.1371040131334,206.745494341891,1312.71400355983,107.456938609642
"289",0,11.5262742380487,0,1542.75422631842
"290",0,0,0,0
"291",7.96923194885467,41.5154950432877,155.178636106779,0.393296229060641
"292",6127.00463512653,14324.1137270673,5883.4418546522,5241.51272014612
"293",0,0,0,0
"294",12057.8282035617,36540.501575603,10695.3871929434,14715.73577866
"295",43601.9450969673,40350.8496351648,45202.2153956997,58244.3048132656
"296",11583.0199155049,36982.0966325004,11431.0367532393,11618.2339319783
"297",8378.88092227406,17949.1224368891,6182.41179195695,6769.70932336388
"298",10290.2659892952,30505.2988138068,9597.31520251999,11224.6764214766
"299",1218.70773590151,1617.36739749802,2606.92248338361,2552.85272898188
"300",2373.19133867155,921.57880991091,4025.93531999874,2172.18324212979
"301",48374.2171649778,42823.9310341796,72193.3256736862,94315.1632342379
"302",39981.3221989842,51866.4338743715,60449.7293557711,63518.1722354212
"303",1473.52064664523,2140.73038553785,776.568579579803,3294.57370264555
"304",0,0,0,0
"305",0,0,0,0
"306",0,0,0,0
"307",7096.77168764675,16332.1926944177,2911.6409775236,2513.99811771957
"308",0,130.877482037199,0,0
"309",13181.0785760295,15262.395236278,19311.3582599958,19297.2533246122
"310",20293.9825769854,6311.53884868183,35761.6353420576,16148.2682918508
"311",29514.555367999,32100.1892926765,45984.6429995707,34356.0088551937
"312",15995.5686490755,3633.09058907377,19857.4085995542,15714.6864196411
"313",0,609.421177525518,73.0328442783096,3720.21132309897
"314",32213.0247506819,29111.6115944573,41672.2798261212,45291.2077250848
"315",17182.3363029252,18424.2043121802,19135.4750194792,36525.0514045358
"316",29308.0065413566,40171.1604124948,58160.1304339351,45398.6766527151
